x,y,z,theta
807.0,1595.0,0.0,0.04052
807.999293,1595.000707,0.0,0.04052
808.998587,1595.001413,0.0,0.04052
809.99788,1595.00212,0.0,0.04052
810.997173,1595.002827,0.0,0.04052
811.996466,1595.003534,0.0,0.04052
812.99576,1595.00424,0.0,0.04052
813.995053,1595.004947,0.0,0.04052
814.994346,1595.005654,0.0,0.04052
815.99364,1595.00636,0.0,0.04052
816.992933,1595.007067,0.0,0.04052
817.992226,1595.007774,0.0,0.04052
818.991519,1595.008481,0.0,0.04052
819.990813,1595.009187,0.0,0.04052
820.990106,1595.009894,0.0,0.04052
821.989399,1595.010601,0.0,0.04052
822.988693,1595.011307,0.0,0.04052
823.987986,1595.012014,0.0,0.04052
824.987279,1595.012721,0.0,0.04052
825.986572,1595.013428,0.0,0.04052
826.985866,1595.014134,0.0,0.04052
827.985159,1595.014841,0.0,0.04052
828.984452,1595.015548,0.0,0.04052
829.983746,1595.016254,0.0,0.04052
830.983039,1595.016961,0.0,0.04052
831.982332,1595.017668,0.0,0.04052
832.981625,1595.018375,0.0,0.04052
833.980919,1595.019081,0.0,0.04052
834.980212,1595.019788,0.0,0.04052
835.979505,1595.020495,0.0,0.04052
836.978799,1595.021201,0.0,0.04052
837.978092,1595.021908,0.0,0.04052
838.977385,1595.022615,0.0,0.04052
839.976678,1595.023322,0.0,0.04052
840.975972,1595.024028,0.0,0.04052
841.975265,1595.024735,0.0,0.04052
842.974558,1595.025442,0.0,0.04052
843.973852,1595.026148,0.0,0.04052
844.973145,1595.026855,0.0,0.04052
845.972438,1595.027562,0.0,0.04052
846.971731,1595.028269,0.0,0.04052
847.971025,1595.028975,0.0,0.04052
848.970318,1595.029682,0.0,0.04052
849.969611,1595.030389,0.0,0.04052
850.968905,1595.031095,0.0,0.04052
851.968198,1595.031802,0.0,0.04052
852.967491,1595.032509,0.0,0.04052
853.966784,1595.033216,0.0,0.04052
854.966078,1595.033922,0.0,0.04052
855.965371,1595.034629,0.0,0.04052
856.964664,1595.035336,0.0,0.04052
857.963958,1595.036042,0.0,0.04052
858.963251,1595.036749,0.0,0.04052
859.962544,1595.037456,0.0,0.04052
860.961837,1595.038163,0.0,0.04052
861.961131,1595.038869,0.0,0.04052
862.960424,1595.039576,0.0,0.04052
863.959717,1595.040283,0.0,0.04052
864.959011,1595.040989,0.0,0.04052
865.958304,1595.041696,0.0,0.04052
866.957597,1595.042403,0.0,0.04052
867.95689,1595.04311,0.0,0.04052
868.956184,1595.043816,0.0,0.04052
869.955477,1595.044523,0.0,0.04052
870.95477,1595.04523,0.0,0.04052
871.954064,1595.045936,0.0,0.04052
872.953357,1595.046643,0.0,0.04052
873.95265,1595.04735,0.0,0.04052
874.951943,1595.048057,0.0,0.04052
875.951237,1595.048763,0.0,0.04052
876.95053,1595.04947,0.0,0.04052
877.949823,1595.050177,0.0,0.04052
878.949117,1595.050883,0.0,0.04052
879.94841,1595.05159,0.0,0.04052
880.947703,1595.052297,0.0,0.04052
881.946996,1595.053004,0.0,0.04052
882.94629,1595.05371,0.0,0.04052
883.945583,1595.054417,0.0,0.04052
884.944876,1595.055124,0.0,0.04052
885.94417,1595.05583,0.0,0.04052
886.943463,1595.056537,0.0,0.04052
887.942756,1595.057244,0.0,0.04052
888.942049,1595.057951,0.0,0.04052
889.941343,1595.058657,0.0,0.04052
890.940636,1595.059364,0.0,0.04052
891.939929,1595.060071,0.0,0.04052
892.939223,1595.060777,0.0,0.04052
893.938516,1595.061484,0.0,0.04052
894.937809,1595.062191,0.0,0.04052
895.937102,1595.062898,0.0,0.04052
896.936396,1595.063604,0.0,0.04052
897.935689,1595.064311,0.0,0.04052
898.934982,1595.065018,0.0,0.04052
899.934276,1595.065724,0.0,0.04052
900.933569,1595.066431,0.0,0.04052
901.932862,1595.067138,0.0,0.04052
902.932155,1595.067845,0.0,0.04052
903.931449,1595.068551,0.0,0.04052
904.930742,1595.069258,0.0,0.04052
905.930035,1595.069965,0.0,0.04052
906.929329,1595.070671,0.0,0.04052
907.928622,1595.071378,0.0,0.04052
908.927915,1595.072085,0.0,0.04052
909.927208,1595.072792,0.0,0.04052
910.926502,1595.073498,0.0,0.04052
911.925795,1595.074205,0.0,0.04052
912.925088,1595.074912,0.0,0.04052
913.924382,1595.075618,0.0,0.04052
914.923675,1595.076325,0.0,0.04052
915.922968,1595.077032,0.0,0.04052
916.922261,1595.077739,0.0,0.04052
917.921555,1595.078445,0.0,0.04052
918.920848,1595.079152,0.0,0.04052
919.920141,1595.079859,0.0,0.04052
920.919435,1595.080565,0.0,0.04052
921.918728,1595.081272,0.0,0.04052
922.918021,1595.081979,0.0,0.04052
923.917314,1595.082686,0.0,0.04052
924.916608,1595.083392,0.0,0.04052
925.915901,1595.084099,0.0,0.04052
926.915194,1595.084806,0.0,0.04052
927.914488,1595.085512,0.0,0.04052
928.913781,1595.086219,0.0,0.04052
929.913074,1595.086926,0.0,0.04052
930.912367,1595.087633,0.0,0.04052
931.911661,1595.088339,0.0,0.04052
932.910954,1595.089046,0.0,0.04052
933.910247,1595.089753,0.0,0.04052
934.909541,1595.090459,0.0,0.04052
935.908834,1595.091166,0.0,0.04052
936.908127,1595.091873,0.0,0.04052
937.90742,1595.09258,0.0,0.04052
938.906714,1595.093286,0.0,0.04052
939.906007,1595.093993,0.0,0.04052
940.9053,1595.0947,0.0,0.04052
941.904594,1595.095406,0.0,0.04052
942.903887,1595.096113,0.0,0.04052
943.90318,1595.09682,0.0,0.04052
944.902473,1595.097527,0.0,0.04052
945.901767,1595.098233,0.0,0.04052
946.90106,1595.09894,0.0,0.04052
947.900353,1595.099647,0.0,0.04052
948.899647,1595.100353,0.0,0.04052
949.89894,1595.10106,0.0,0.04052
950.898233,1595.101767,0.0,0.04052
951.897527,1595.102473,0.0,0.04052
952.89682,1595.10318,0.0,0.04052
953.896113,1595.103887,0.0,0.04052
954.895406,1595.104594,0.0,0.04052
955.8947,1595.1053,0.0,0.04052
956.893993,1595.106007,0.0,0.04052
957.893286,1595.106714,0.0,0.04052
958.89258,1595.10742,0.0,0.04052
959.891873,1595.108127,0.0,0.04052
960.891166,1595.108834,0.0,0.04052
961.890459,1595.109541,0.0,0.04052
962.889753,1595.110247,0.0,0.04052
963.889046,1595.110954,0.0,0.04052
964.888339,1595.111661,0.0,0.04052
965.887633,1595.112367,0.0,0.04052
966.886926,1595.113074,0.0,0.04052
967.886219,1595.113781,0.0,0.04052
968.885512,1595.114488,0.0,0.04052
969.884806,1595.115194,0.0,0.04052
970.884099,1595.115901,0.0,0.04052
971.883392,1595.116608,0.0,0.04052
972.882686,1595.117314,0.0,0.04052
973.881979,1595.118021,0.0,0.04052
974.881272,1595.118728,0.0,0.04052
975.880565,1595.119435,0.0,0.04052
976.879859,1595.120141,0.0,0.04052
977.879152,1595.120848,0.0,0.04052
978.878445,1595.121555,0.0,0.04052
979.877739,1595.122261,0.0,0.04052
980.877032,1595.122968,0.0,0.04052
981.876325,1595.123675,0.0,0.04052
982.875618,1595.124382,0.0,0.04052
983.874912,1595.125088,0.0,0.04052
984.874205,1595.125795,0.0,0.04052
985.873498,1595.126502,0.0,0.04052
986.872792,1595.127208,0.0,0.04052
987.872085,1595.127915,0.0,0.04052
988.871378,1595.128622,0.0,0.04052
989.870671,1595.129329,0.0,0.04052
990.869965,1595.130035,0.0,0.04052
991.869258,1595.130742,0.0,0.04052
992.868551,1595.131449,0.0,0.04052
993.867845,1595.132155,0.0,0.04052
994.867138,1595.132862,0.0,0.04052
995.866431,1595.133569,0.0,0.04052
996.865724,1595.134276,0.0,0.04052
997.865018,1595.134982,0.0,0.04052
998.864311,1595.135689,0.0,0.04052
999.863604,1595.136396,0.0,0.04052
1000.862898,1595.137102,0.0,0.04052
1001.862191,1595.137809,0.0,0.04052
1002.861484,1595.138516,0.0,0.04052
1003.860777,1595.139223,0.0,0.04052
1004.860071,1595.139929,0.0,0.04052
1005.859364,1595.140636,0.0,0.04052
1006.858657,1595.141343,0.0,0.04052
1007.857951,1595.142049,0.0,0.04052
1008.857244,1595.142756,0.0,0.04052
1009.856537,1595.143463,0.0,0.04052
1010.85583,1595.14417,0.0,0.04052
1011.855124,1595.144876,0.0,0.04052
1012.854417,1595.145583,0.0,0.04052
1013.85371,1595.14629,0.0,0.04052
1014.853004,1595.146996,0.0,0.04052
1015.852297,1595.147703,0.0,0.04052
1016.85159,1595.14841,0.0,0.04052
1017.850883,1595.149117,0.0,0.04052
1018.850177,1595.149823,0.0,0.04052
1019.84947,1595.15053,0.0,0.04052
1020.848763,1595.151237,0.0,0.04052
1021.848057,1595.151943,0.0,0.04052
1022.84735,1595.15265,0.0,0.04052
1023.846643,1595.153357,0.0,0.04052
1024.845936,1595.154064,0.0,0.04052
1025.84523,1595.15477,0.0,0.04052
1026.844523,1595.155477,0.0,0.04052
1027.843816,1595.156184,0.0,0.04052
1028.84311,1595.15689,0.0,0.04052
1029.842403,1595.157597,0.0,0.04052
1030.841696,1595.158304,0.0,0.04052
1031.840989,1595.159011,0.0,0.04052
1032.840283,1595.159717,0.0,0.04052
1033.839576,1595.160424,0.0,0.04052
1034.838869,1595.161131,0.0,0.04052
1035.838163,1595.161837,0.0,0.04052
1036.837456,1595.162544,0.0,0.04052
1037.836749,1595.163251,0.0,0.04052
1038.836042,1595.163958,0.0,0.04052
1039.835336,1595.164664,0.0,0.04052
1040.834629,1595.165371,0.0,0.04052
1041.833922,1595.166078,0.0,0.04052
1042.833216,1595.166784,0.0,0.04052
1043.832509,1595.167491,0.0,0.04052
1044.831802,1595.168198,0.0,0.04052
1045.831095,1595.168905,0.0,0.04052
1046.830389,1595.169611,0.0,0.04052
1047.829682,1595.170318,0.0,0.04052
1048.828975,1595.171025,0.0,0.04052
1049.828269,1595.171731,0.0,0.04052
1050.827562,1595.172438,0.0,0.04052
1051.826855,1595.173145,0.0,0.04052
1052.826148,1595.173852,0.0,0.04052
1053.825442,1595.174558,0.0,0.04052
1054.824735,1595.175265,0.0,0.04052
