id,x,y,z,theta,pont,depass
0,807.0,1595.0,0,0.0405,0,0
1,857.5,1595.0357,0,0.0405,0,1
2,908.0,1595.0714,0,0.0405,0,1
3,958.5,1595.1071,0,0.0405,0,1
4,1009.0,1595.1429,0,0.0405,0,1
5,1059.5,1595.1786,0,0.0405,0,1
6,1110.0,1595.2143,0,0.0405,0,1
7,1160.5,1595.25,0,0.0405,0,1
8,1211.0,1595.2857,0,0.0405,0,1
9,1261.5,1595.3214,0,0.0405,0,1
10,1312.0,1595.3571,0,0.0405,0,1
11,1362.5,1595.3929,0,0.0405,0,1
12,1413.0,1595.4286,0,0.0405,0,1
13,1463.5,1595.4643,0,0.0405,0,1
14,1514.0,1595.5,0,0.0405,0,1
15,1564.5,1595.5357,0,0.0405,0,1
16,1615.0,1595.5714,0,0.0405,0,1
17,1665.5,1595.6071,0,0.0405,0,1
18,1716.0,1595.6429,0,0.0405,0,1
19,1766.5,1595.6786,0,0.0405,0,1
20,1817.0,1595.7143,0,0.0405,0,1
21,1867.5,1595.75,0,0.0405,0,1
22,1918.0,1595.7857,0,0.0405,0,1
23,1968.5,1595.8214,0,0.0405,0,1
24,2019.0,1595.8571,0,0.0405,0,1
25,2069.5,1595.8929,0,0.0405,0,1
26,2120.0,1595.9286,0,0.0405,0,1
27,2170.5,1595.9643,0,0.0405,0,1
28,2221.0,1596.0,0,-13.3239,0,1
29,2291.2594,1579.3605,0,-44.2256,1,0
30,2343.0,1529.0,0,-67.5616,1,0
31,2362.125,1482.6875,0,-67.5616,1,0
32,2381.25,1436.375,0,-67.5616,1,0
33,2400.375,1390.0625,0,-67.5616,1,0
34,2419.5,1343.75,0,-67.5616,1,0
35,2438.625,1297.4375,0,-67.5616,1,0
36,2457.75,1251.125,0,-67.5616,1,0
37,2476.875,1204.8125,0,-67.5616,1,0
38,2496.0,1158.5,0,-67.5616,1,0
39,2515.125,1112.1875,0,-67.5616,1,0
40,2534.25,1065.875,0,-67.5616,1,0
41,2553.375,1019.5625,0,-67.5616,1,0
42,2572.5,973.25,0,-67.5616,1,0
43,2591.625,926.9375,0,-67.5616,1,0
44,2610.75,880.625,0,-67.5616,1,0
45,2629.875,834.3125,0,-67.5616,1,0
46,2649.0,788.0,0,-82.5475,1,0
47,2656.2657,732.4561,0,-97.999,1,0
48,2648.4706,676.984,0,-113.4505,1,0
49,2626.1782,625.5937,0,-128.902,1,0
50,2591.0,582.0,0,-157.66,1,0
51,2525.9772,555.2791,0,174.5139,0,0
52,2456.0,562.0,0,169.497,0,0
53,2396.6667,573.0,0,169.497,0,0
54,2337.3333,584.0,0,169.497,0,0
55,2278.0,595.0,0,-179.4744,0,0
56,2223.5,594.5,0,-179.4744,0,0
57,2169.0,594.0,0,180.0,0,0
58,2115.0,594.0,0,180.0,0,0
59,2061.0,594.0,0,179.1048,0,0
60,2010.0372,594.7963,0,179.1048,0,1
61,1959.0743,595.5926,0,179.1048,0,1
62,1908.1115,596.3889,0,179.1048,0,1
63,1857.1487,597.1852,0,179.1048,0,1
64,1806.1858,597.9815,0,179.1048,0,1
65,1755.223,598.7778,0,179.1048,0,1
66,1704.2602,599.5741,0,179.1048,0,1
67,1653.2973,600.3704,0,179.1048,0,1
68,1602.3345,601.1666,0,179.1048,0,1
69,1551.3717,601.9629,0,179.1048,0,1
