id,x,y,z,theta
0,807.0,1595.0,0,0.0405
1,817.0284,1595.0071,0,0.0405
2,827.0567,1595.0142,0,0.0405
3,837.0851,1595.0213,0,0.0405
4,847.1135,1595.0284,0,0.0405
5,857.1418,1595.0355,0,0.0405
6,867.1702,1595.0426,0,0.0405
7,877.1986,1595.0496,0,0.0405
8,887.227,1595.0567,0,0.0405
9,897.2553,1595.0638,0,0.0405
10,907.2837,1595.0709,0,0.0405
11,917.3121,1595.078,0,0.0405
12,927.3404,1595.0851,0,0.0405
13,937.3688,1595.0922,0,0.0405
14,947.3972,1595.0993,0,0.0405
15,957.4255,1595.1064,0,0.0405
16,967.4539,1595.1135,0,0.0405
17,977.4823,1595.1206,0,0.0405
18,987.5106,1595.1277,0,0.0405
19,997.539,1595.1348,0,0.0405
20,1007.5674,1595.1418,0,0.0405
21,1017.5957,1595.1489,0,0.0405
22,1027.6241,1595.156,0,0.0405
23,1037.6525,1595.1631,0,0.0405
24,1047.6809,1595.1702,0,0.0405
25,1057.7092,1595.1773,0,0.0405
26,1067.7376,1595.1844,0,0.0405
27,1077.766,1595.1915,0,0.0405
28,1087.7943,1595.1986,0,0.0405
29,1097.8227,1595.2057,0,0.0405
30,1107.8511,1595.2128,0,0.0405
31,1117.8794,1595.2199,0,0.0405
32,1127.9078,1595.227,0,0.0405
33,1137.9362,1595.234,0,0.0405
34,1147.9645,1595.2411,0,0.0405
35,1157.9929,1595.2482,0,0.0405
36,1168.0213,1595.2553,0,0.0405
37,1178.0496,1595.2624,0,0.0405
38,1188.078,1595.2695,0,0.0405
39,1198.1064,1595.2766,0,0.0405
40,1208.1348,1595.2837,0,0.0405
41,1218.1631,1595.2908,0,0.0405
42,1228.1915,1595.2979,0,0.0405
43,1238.2199,1595.305,0,0.0405
44,1248.2482,1595.3121,0,0.0405
45,1258.2766,1595.3191,0,0.0405
46,1268.305,1595.3262,0,0.0405
47,1278.3333,1595.3333,0,0.0405
48,1288.3617,1595.3404,0,0.0405
49,1298.3901,1595.3475,0,0.0405
50,1308.4184,1595.3546,0,0.0405
51,1318.4468,1595.3617,0,0.0405
52,1328.4752,1595.3688,0,0.0405
53,1338.5035,1595.3759,0,0.0405
54,1348.5319,1595.383,0,0.0405
55,1358.5603,1595.3901,0,0.0405
56,1368.5887,1595.3972,0,0.0405
57,1378.617,1595.4043,0,0.0405
58,1388.6454,1595.4113,0,0.0405
59,1398.6738,1595.4184,0,0.0405
60,1408.7021,1595.4255,0,0.0405
61,1418.7305,1595.4326,0,0.0405
62,1428.7589,1595.4397,0,0.0405
63,1438.7872,1595.4468,0,0.0405
64,1448.8156,1595.4539,0,0.0405
65,1458.844,1595.461,0,0.0405
66,1468.8723,1595.4681,0,0.0405
67,1478.9007,1595.4752,0,0.0405
68,1488.9291,1595.4823,0,0.0405
69,1498.9574,1595.4894,0,0.0405
70,1508.9858,1595.4965,0,0.0405
71,1519.0142,1595.5035,0,0.0405
72,1529.0426,1595.5106,0,0.0405
73,1539.0709,1595.5177,0,0.0405
74,1549.0993,1595.5248,0,0.0405
75,1559.1277,1595.5319,0,0.0405
76,1569.156,1595.539,0,0.0405
77,1579.1844,1595.5461,0,0.0405
78,1589.2128,1595.5532,0,0.0405
79,1599.2411,1595.5603,0,0.0405
80,1609.2695,1595.5674,0,0.0405
81,1619.2979,1595.5745,0,0.0405
82,1629.3262,1595.5816,0,0.0405
83,1639.3546,1595.5887,0,0.0405
84,1649.383,1595.5957,0,0.0405
85,1659.4113,1595.6028,0,0.0405
86,1669.4397,1595.6099,0,0.0405
87,1679.4681,1595.617,0,0.0405
88,1689.4965,1595.6241,0,0.0405
89,1699.5248,1595.6312,0,0.0405
90,1709.5532,1595.6383,0,0.0405
91,1719.5816,1595.6454,0,0.0405
92,1729.6099,1595.6525,0,0.0405
93,1739.6383,1595.6596,0,0.0405
94,1749.6667,1595.6667,0,0.0405
95,1759.695,1595.6738,0,0.0405
96,1769.7234,1595.6809,0,0.0405
97,1779.7518,1595.6879,0,0.0405
98,1789.7801,1595.695,0,0.0405
99,1799.8085,1595.7021,0,0.0405
100,1809.8369,1595.7092,0,0.0405
101,1819.8652,1595.7163,0,0.0405
102,1829.8936,1595.7234,0,0.0405
103,1839.922,1595.7305,0,0.0405
104,1849.9504,1595.7376,0,0.0405
105,1859.9787,1595.7447,0,0.0405
106,1870.0071,1595.7518,0,0.0405
107,1880.0355,1595.7589,0,0.0405
108,1890.0638,1595.766,0,0.0405
109,1900.0922,1595.773,0,0.0405
110,1910.1206,1595.7801,0,0.0405
111,1920.1489,1595.7872,0,0.0405
112,1930.1773,1595.7943,0,0.0405
113,1940.2057,1595.8014,0,0.0405
114,1950.234,1595.8085,0,0.0405
115,1960.2624,1595.8156,0,0.0405
116,1970.2908,1595.8227,0,0.0405
117,1980.3191,1595.8298,0,0.0405
118,1990.3475,1595.8369,0,0.0405
119,2000.3759,1595.844,0,0.0405
120,2010.4043,1595.8511,0,0.0405
121,2020.4326,1595.8582,0,0.0405
122,2030.461,1595.8652,0,0.0405
123,2040.4894,1595.8723,0,0.0405
124,2050.5177,1595.8794,0,0.0405
125,2060.5461,1595.8865,0,0.0405
126,2070.5745,1595.8936,0,0.0405
127,2080.6028,1595.9007,0,0.0405
128,2090.6312,1595.9078,0,0.0405
129,2100.6596,1595.9149,0,0.0405
130,2110.6879,1595.922,0,0.0405
131,2120.7163,1595.9291,0,0.0405
132,2130.7447,1595.9362,0,0.0405
133,2140.773,1595.9433,0,0.0405
134,2150.8014,1595.9504,0,0.0405
135,2160.8298,1595.9574,0,0.0405
136,2170.8582,1595.9645,0,0.0405
137,2180.8865,1595.9716,0,0.0405
138,2190.9149,1595.9787,0,0.0405
139,2200.9433,1595.9858,0,0.0405
