t_s,x_real,y_real,vx,vy,x_fusion,y_fusion,x_mm,y_mm,mm_valid
0.000,15.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,1
0.100,30.0,0.0,151.0,0.0,48.4,2.8,42.0,14.0,1
0.200,45.0,0.0,151.0,0.0,48.4,2.8,42.0,14.0,1
0.301,60.0,0.0,151.0,0.0,48.4,2.8,42.0,14.0,1
0.401,75.0,0.0,150.0,0.0,96.8,4.4,42.0,14.0,1
0.501,90.0,0.0,150.0,0.0,96.8,4.4,58.0,25.0,1
0.601,105.0,0.0,150.0,0.0,96.8,4.4,58.0,25.0,1
0.701,120.0,0.0,151.6,0.0,140.2,7.1,58.0,25.0,1
0.801,135.0,0.0,151.6,0.0,140.2,7.1,58.0,25.0,1
0.902,150.0,0.0,151.6,0.0,140.2,7.1,58.0,25.0,1
1.002,165.0,0.0,149.9,0.0,181.6,10.1,141.0,-37.0,1
1.102,180.0,0.0,149.9,0.0,181.6,10.1,141.0,-37.0,1
1.202,195.0,0.0,149.9,0.0,181.6,10.1,141.0,-37.0,1
1.302,210.0,0.0,149.9,0.0,181.6,10.1,141.0,-37.0,1
1.403,225.0,0.0,149.9,0.0,223.7,6.5,141.0,-37.0,1
1.503,240.0,0.0,149.9,0.0,223.7,6.5,225.0,-12.0,1
1.603,255.0,0.0,149.9,0.0,223.7,6.5,225.0,-12.0,1
1.703,270.0,0.0,151.0,0.0,268.7,2.9,225.0,-12.0,1
1.803,285.0,0.0,151.0,0.0,268.7,2.9,225.0,-12.0,1
1.904,300.0,0.0,151.0,0.0,268.7,2.9,225.0,-12.0,1
2.004,315.0,0.0,151.5,0.0,315.1,-0.6,325.0,21.0,1
2.104,330.0,0.0,151.5,0.0,315.1,-0.6,325.0,21.0,1
2.204,345.0,0.0,151.5,0.0,315.1,-0.6,325.0,21.0,1
2.305,360.0,0.0,151.5,0.0,315.1,-0.6,325.0,21.0,1
2.405,375.0,0.0,151.0,0.0,364.5,1.0,325.0,21.0,1
2.505,390.0,0.0,151.0,0.0,364.5,1.0,381.0,32.0,1
2.606,405.0,0.0,151.0,0.0,364.5,1.0,381.0,32.0,1
2.706,420.0,0.0,151.2,0.0,413.1,4.5,381.0,32.0,1
2.806,435.0,0.0,151.2,0.0,413.1,4.5,381.0,32.0,1
2.906,450.0,0.0,151.2,0.0,413.1,4.5,381.0,32.0,1
3.006,465.0,0.0,151.3,0.0,462.0,8.3,435.0,6.0,1
3.107,480.0,0.0,151.3,0.0,462.0,8.3,435.0,6.0,1
3.207,495.0,0.0,151.3,0.0,462.0,8.3,435.0,6.0,1
3.307,510.0,0.0,151.3,0.0,462.0,8.3,435.0,6.0,1
3.408,525.0,0.0,151.9,0.0,509.0,9.5,435.0,6.0,1
3.508,540.0,0.0,151.9,0.0,509.0,9.5,522.0,-34.0,1
3.608,555.0,0.0,151.9,0.0,509.0,9.5,522.0,-34.0,1
3.709,570.0,0.0,150.3,0.0,556.6,5.4,522.0,-34.0,1
3.809,585.0,0.0,150.3,0.0,556.6,5.4,522.0,-34.0,1
3.909,600.0,0.0,150.3,0.0,556.6,5.4,522.0,-34.0,1
4.010,615.0,0.0,150.3,0.0,604.2,-0.3,642.0,38.0,1
4.110,630.0,0.0,150.3,0.0,604.2,-0.3,642.0,38.0,1
4.210,645.0,0.0,150.3,0.0,604.2,-0.3,642.0,38.0,1
4.311,660.0,0.0,150.3,0.0,604.2,-0.3,642.0,38.0,1
4.411,675.0,0.0,150.2,0.0,657.1,1.6,642.0,38.0,1
4.512,690.0,0.0,150.2,0.0,657.1,1.6,708.0,24.0,1
4.615,705.0,0.0,150.2,0.0,657.1,1.6,708.0,24.0,1
4.716,720.0,0.0,150.2,0.0,710.8,4.0,708.0,24.0,1
4.816,735.0,0.0,150.2,0.0,710.8,4.0,708.0,24.0,1
4.916,750.0,0.0,150.2,0.0,710.8,4.0,708.0,24.0,1
5.017,765.0,0.0,150.2,0.0,763.8,7.2,783.0,-10.0,1
5.117,780.0,0.0,150.2,0.0,763.8,7.2,783.0,-10.0,1
5.218,795.0,0.0,150.2,0.0,763.8,7.2,783.0,-10.0,1
5.318,810.0,0.0,150.2,0.0,763.8,7.2,783.0,-10.0,1
5.419,825.0,0.0,151.6,0.0,817.4,6.6,783.0,-10.0,1
5.519,840.0,0.0,151.6,0.0,817.4,6.6,821.0,-30.0,1
5.619,855.0,0.0,151.6,0.0,817.4,6.6,821.0,-30.0,1
5.720,870.0,0.0,151.0,0.0,866.2,2.3,821.0,-30.0,1
5.820,885.0,0.0,151.0,0.0,866.2,2.3,821.0,-30.0,1
