t,valid,x,y,z,theta
1233.069372,1,5845.000,2598.000,-1746.000,0.00
1233.119742,1,5845.000,2598.000,-1746.000,0.00
1233.170237,1,5851.000,2600.000,-1751.500,0.00
1233.220686,1,5854.000,2601.000,-1754.250,0.00
1233.271033,1,5855.500,2601.500,-1755.625,0.00
1233.321483,1,5852.750,2601.250,-1753.312,0.00
1233.371814,1,5851.375,2601.125,-1752.156,0.00
1233.422287,1,5850.688,2601.062,-1751.578,0.00
1233.472591,1,5854.344,2601.531,-1749.789,0.00
1233.523046,1,5856.172,2601.766,-1748.895,0.00
1233.573461,1,5857.086,2601.883,-1748.447,0.00
1233.623795,1,5857.043,2600.441,-1749.724,0.00
1233.674388,1,5857.021,2599.721,-1750.362,0.00
1233.724849,1,5861.511,2621.860,-1717.681,0.00
1233.775820,1,5863.755,2632.930,-1701.340,0.00
1233.826431,1,5864.878,2638.465,-1693.170,0.00
1233.877353,1,5855.939,2645.732,-1679.585,0.00
1233.928257,1,5851.470,2649.366,-1672.792,0.00
1233.978843,1,5849.235,2651.183,-1669.396,0.00
1234.029402,1,5857.117,2625.592,-1713.198,0.00
1234.080400,1,5861.059,2612.796,-1735.099,0.00
1234.131021,1,5863.029,2606.398,-1746.050,0.00
1234.182570,1,5863.015,2602.699,-1751.025,0.00
1234.234044,1,5863.007,2600.850,-1753.512,0.00
1234.284599,1,5863.004,2599.925,-1754.756,0.00
1234.336119,1,5861.002,2599.962,-1753.878,0.00
1234.386762,1,5860.001,2599.981,-1753.439,0.00
1234.437340,1,5859.000,2617.991,-1725.719,0.00
1234.488115,1,5858.500,2626.995,-1711.860,0.00
1234.538801,1,5858.250,2631.498,-1704.930,0.00
1234.589868,1,5856.125,2632.249,-1704.465,0.00
1234.640396,1,5855.062,2632.625,-1704.232,0.00
1234.691368,1,5854.531,2632.812,-1704.116,0.00
1234.741923,1,5847.266,2615.406,-1729.058,0.00
1234.792527,1,5843.633,2606.703,-1741.529,0.00
1234.843421,1,5841.816,2602.352,-1747.765,0.00
1234.894044,1,5849.408,2601.176,-1750.882,0.00
1234.944613,1,5853.204,2600.588,-1752.441,0.00
1234.995565,1,5855.602,2601.294,-1751.221,0.00
1235.046226,1,5856.801,2601.647,-1750.610,0.00
1235.096854,1,5857.400,2601.823,-1750.305,0.00
1235.147755,1,5855.700,2601.912,-1751.653,0.00
1235.198444,1,5854.850,2601.956,-1752.326,0.00
1235.249019,1,5854.425,2601.978,-1752.663,0.00
1235.299913,1,5854.712,2615.989,-1729.332,0.00
1235.350530,1,5854.856,2622.995,-1717.666,0.00
1235.401112,1,5854.928,2626.497,-1711.833,0.00
1235.452102,1,5858.964,2613.249,-1735.417,0.00
1235.502705,1,5860.982,2606.624,-1747.208,0.00
1235.553586,1,5861.991,2603.312,-1753.104,0.00
1235.604258,1,5857.996,2600.656,-1752.552,0.00
1235.654836,1,5855.998,2599.328,-1752.276,0.00
1235.705421,1,5851.999,2599.164,-1750.138,0.00
1235.756310,1,5850.000,2599.082,-1749.069,0.00
1235.806955,1,5849.000,2599.041,-1748.534,0.00
1235.857856,1,5849.500,2600.521,-1749.767,0.00
