u,v,radius,length,cx,cy
0,1,inf,92.0,,
1,0,inf,92.0,,
2,3,inf,92.00543462209176,,
3,2,inf,92.00543462209176,,
4,1,inf,92.78469701410896,,
1,4,inf,92.78469701410896,,
3,4,inf,94.03190947758107,,
4,3,inf,94.03190947758107,,
15,16,inf,654.000764525547,,
17,14,inf,661.0,,
20,19,inf,1236.003640771337,,
18,21,inf,1414.000353606745,,
23,24,inf,801.6963265476523,,
24,23,inf,801.6963265476523,,
26,27,inf,181.0331461362808,,
27,54,inf,109.00458705944443,,
54,29,inf,108.0,,
29,30,inf,576.0703082089893,,
30,31,inf,249.00803199896987,,
32,10,inf,263.0931394012394,,
11,33,inf,272.88275870783775,,
34,35,inf,257.07002936943076,,
35,55,inf,491.0091648839154,,
55,36,inf,305.0,,
36,37,inf,288.17529387509956,,
4,5,202.569,330.89147027138495,537.5118212345382,564.8126937644589
5,4,-202.569,330.8914702713849,352.48817876546184,358.1873062355411
5,6,93.694,92.06784693652155,539.5409590353862,455.409867917092
7,6,-77.858,96.89000656913447,579.5504401032581,353.784450732494
7,5,171.573,105.70722447045924,554.2143591927162,191.42879875246564
8,7,-128.66,256.0829508799257,771.8558051137899,279.39181459322185
9,8,-146.433,194.74835688258617,927.0269766288288,499.5641627301352
10,8,119.575,79.76503541655482,985.0728277954149,347.1058749502847
9,11,147.63,79.36131515426239,807.4783075595932,671.586501293966
6,12,-1391.435,52.50073322796842,-692.00046527123,866.0001488867936
12,13,52.765,57.98262573586691,591.4066960625107,485.01803067940034
12,9,-148.886,161.58332412949858,663.0800047855089,614.2396494992837
14,9,174.285,273.1254563744635,844.3465908979655,689.1314102501344
13,15,-379.701,213.8902429785712,251.02759799785065,544.5110170286463
16,18,-227.783,338.7027424945803,579.6305544322013,1608.719705215193
19,17,172.161,195.94597991402114,836.4536723174667,1327.94163407081
22,20,-147.697,89.86123530947285,2169.1297509973556,1410.7405635438606
21,22,135.51,107.49083827548297,2226.0298033005656,1460.5833792374156
21,23,-135.51,146.17104066063,2226.029388329973,1460.5833638247268
23,21,135.51,253.66160110855455,2226.029544774904,1460.5830963545282
24,25,-208.348,224.748824376316,2792.0799688436587,636.5503000343097
25,26,-146.183,141.98966743973156,2542.445754844012,444.11615480292045
31,32,207.842,111.39200535997556,1243.592458681389,393.2967223773986
33,34,-321.082,136.3628169902882,1088.6500169617516,982.8043464120748
37,24,65.095,118.25219974969667,2584.086379130091,783.1439882045379
38,36,-200.0,287.3036341235029,2086.08715101121,698.9036267823492
55,38,-200.0,245.6391855877861,2180.872407308241,685.8571156520121
38,29,100.451,110.07748640895325,2006.9813681369415,509.31003121595006
54,38,100.451,119.5344878496967,2207.443872696911,501.196594604165
39,38,117.115,53.72392009874924,1997.7705076060981,542.2473811776604
38,39,-117.115,53.72392009874932,2186.2294923939016,413.7526188223396
47,39,-117.115,72.75330280868168,1997.7704597476593,542.2473372134046
39,47,117.115,72.75330280868171,2091.2295402523405,339.75266278659535
47,44,54.792,77.60776404634757,2005.8533110049668,371.55386626767387
44,47,-54.792,77.60776404634757,1959.1466889950332,440.44613373232613
44,45,inf,59.033888572581766,,
45,44,inf,59.033888572581766,,
51,39,inf,78.10249675906654,,
39,51,inf,78.10249675906654,,
51,46,inf,55.0,,
46,51,inf,55.0,,
38,40,100.291,48.8551704887381,2203.506799851027,527.2895999148726
40,38,-100.291,48.855170488738196,2034.493200148973,430.7104000851274
40,49,100.291,81.53658862132717,2203.506621627473,527.2897864130816
49,40,-100.291,81.53658862132723,2131.493378372527,357.7102135869184
52,40,inf,82.54089895318563,,
40,52,inf,82.54089895318563,,
43,52,inf,53.0,,
52,43,inf,53.0,,
41,49,50.085,74.39525320213895,2213.937532580611,377.9107682764407
49,41,-50.085,74.39525320213893,2252.062467419389,441.0892317235593
41,42,inf,69.0,,
42,41,inf,69.0,,
